Test Name,Test ID,Algorithm Name,Degree,timeIntervalSizeSec,segmentSizeSec,Tmin Factor,numberOfPointsPerSegment,initialNumberOfPoints,Number of Points,runTimeSec,runTimeMicro,numberOfIterations,avgTimeMicro,minTimeMicro,TCA Distance,TCA Time,TOLd,TOLt
CALSPHERE 1             _CALSPHERE 2             ,1,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.019959000000000001046052133802,19959.000000000000000000000000000000,10,16260.000000000000000000000000000000,12407.000000000000000000000000000000,76.901469718695651067719154525548,2379289.916131889447569847106933593750,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LCS 1                   ,2,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012642000000000000459188242985,12642.000000000000000000000000000000,10,12595.600000000000363797880709171295,12564.000000000000000000000000000000,1781.725710984185752749908715486526,954118.973615251481533050537109375000,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _TEMPSAT 1               ,3,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012685000000000000094924068605,12685.000000000000000000000000000000,10,12636.200000000000727595761418342590,12596.000000000000000000000000000000,118.212309208076021604938432574272,2171895.694716411177068948745727539062,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _CALSPHERE 4A            ,4,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.012753999999999999712119169715,12754.000000000000000000000000000000,10,12706.899999999999636202119290828705,12672.000000000000000000000000000000,117.995522137847274279920384287834,837221.084983510663732886314392089844,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 5712 (P/L 160)      ,5,ANCAS,15,2419200.000000000000000000000000000000,2963.616450553603499429300427436829,0.500000000000000000000000000000,16,12241,12238,0.020809000000000001107114400156,20809.000000000000000000000000000000,10,16963.099999999998544808477163314819,13465.000000000000000000000000000000,284.619158005373208197852363809943,1720458.588177549187093973159790039062,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _LES-5                   ,6,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.015521000000000000074162898045,15521.000000000000000000000000000000,10,15471.799999999999272404238581657410,15428.000000000000000000000000000000,32323.878031161650142166763544082642,604617.668535169563256204128265380859,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _SURCAL 159              ,7,ANCAS,15,2419200.000000000000000000000000000000,3087.556734471434992883587256073952,0.500000000000000000000000000000,16,11746,11743,0.012933000000000000051514348343,12933.000000000000000000000000000000,10,12850.700000000000727595761418342590,12826.000000000000000000000000000000,84.567882909074270969540521036834,2416511.783019393216818571090698242188,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 5712 (P/L 153)      ,8,ANCAS,15,2419200.000000000000000000000000000000,3093.314389035855128895491361618042,0.500000000000000000000000000000,16,11731,11728,0.020670999999999998403277245984,20671.000000000000000000000000000000,10,16666.700000000000727595761418342590,12866.000000000000000000000000000000,69.864014241682752981432713568211,1611552.371454250300303101539611816406,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _SURCAL 150B             ,9,ANCAS,15,2419200.000000000000000000000000000000,2924.244875748736831155838444828987,0.500000000000000000000000000000,16,12406,12403,0.013728000000000000618838313926,13728.000000000000000000000000000000,10,13619.399999999999636202119290828705,13573.000000000000000000000000000000,339.696230371003991876932559534907,138824.956916229828493669629096984863,0.000000000000000000000000000000,0.000000000000000000000000000000
CALSPHERE 1             _OPS 3811 (DSP 2)        ,10,ANCAS,15,2419200.000000000000000000000000000000,3142.170959636162024253280833363533,0.500000000000000000000000000000,16,11536,11533,0.015324000000000000815125744680,15324.000000000000000000000000000000,10,15278.500000000000000000000000000000,15230.000000000000000000000000000000,35360.025681353821710217744112014771,22657.810127250166260637342929840088,0.000000000000000000000000000000,0.000000000000000000000000000000
